"Time","Initiator","Event Stage","Event Type","Target","Target owner","Channel","Outcome"
"2018-10-31T17:39:46.020+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@5ddcd23[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","SYNCHRONIZATION","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@169dc64d[_referenceValue=PRV(oid=b8b03f8e-1ced-4ebe-87cf-5c23bf015d1f, targetType={.../common/common-3}RoleType, targetName=user)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T17:39:26.169+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@63917981[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@4f4f4467[_referenceValue=PRV(oid=b8b03f8e-1ced-4ebe-87cf-5c23bf015d1f, targetType={.../common/common-3}RoleType, targetName=user)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-31T17:39:25.019+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@24103c78[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@5cc73919[_referenceValue=PRV(oid=b8b03f8e-1ced-4ebe-87cf-5c23bf015d1f, targetType={.../common/common-3}RoleType, targetName=user)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T17:38:39.813+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@34721e71[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@1ab18e4[_referenceValue=PRV(oid=2361c1d5-3e0a-4a7e-9baf-4652ccc2075c, targetType={.../common/common-3}UserType, targetName=testii2)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-31T17:38:39.646+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@24fd1755[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@4197fd22[_referenceValue=PRV(oid=2361c1d5-3e0a-4a7e-9baf-4652ccc2075c, targetType={.../common/common-3}UserType, targetName=2361c1d5-3e0a-4a7e-9baf-4652ccc2075c)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T17:37:15.185+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@6532f2f7[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@3c07ba8d[_referenceValue=PRV(oid=2361c1d5-3e0a-4a7e-9baf-4652ccc2075c, targetType={.../common/common-3}UserType, targetName=testii2)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-31T17:37:15.080+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@700c55e7[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@e0cd829[_referenceValue=PRV(oid=2361c1d5-3e0a-4a7e-9baf-4652ccc2075c, targetType={.../common/common-3}UserType, targetName=2361c1d5-3e0a-4a7e-9baf-4652ccc2075c)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T17:34:51.219+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@7cdb2655[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","ADD_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@7d893891[_referenceValue=PRV(oid=2361c1d5-3e0a-4a7e-9baf-4652ccc2075c, targetType={.../common/common-3}UserType, targetName=testii2)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-31T17:34:50.927+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@6fb8f9aa[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","ADD_OBJECT",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T17:32:19.006+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@79db9e4[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","ADD_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@2251decc[_referenceValue=PRV(oid=b8b03f8e-1ced-4ebe-87cf-5c23bf015d1f, targetType={.../common/common-3}RoleType, targetName=user)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
