"Time","Initiator","Event Stage","Event Type","Target","Target owner","Channel","Outcome"
"2018-10-31T12:52:41.151+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@707abfa0[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","ADD_OBJECT",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T12:52:01.239+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@35f84278[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","TERMINATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-31T12:43:11.811+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@3a920888[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","CREATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-31T12:42:11.328+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@dbe6d2d[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","ADD_OBJECT",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","FATAL_ERROR"
"2018-10-31T12:42:11.266+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@289c4485[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","ADD_OBJECT",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T12:40:21.703+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@5f00286c[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","ADD_OBJECT",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","FATAL_ERROR"
"2018-10-31T12:40:21.635+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@75fcbd4c[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","ADD_OBJECT",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T12:39:29.065+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@b5561db[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","ADD_OBJECT",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","FATAL_ERROR"
"2018-10-31T12:39:28.590+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@4127b458[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","ADD_OBJECT",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T12:35:24.097+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@1f3aa758[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","CREATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
